Product_ID,Category,Unit_Cost,Current_Stock,Daily_Demand_Est,Safety_Stock_Target,Vendor_Name,Lead_Time_Days,Reorder_Point,Stock_Status,Inventory_Value
SKU-Z2824,Electronics,141.14,0.0,29.0,231,Nagoya Parts,26,985.0,Out of Stock,0.0
SKU-Y1434,Office,359.43,1190.0,90.0,973,Fukuoka Logistics,21,2863.0,Low Stock,427721.7
SKU-C3547,Home,171.61,258.0,12.0,115,Sapporo Steel,14,283.0,Low Stock,44275.380000000005
SKU-X2291,Office,415.56,1735.0,80.0,1055,Hokkaido Foods,9,1775.0,Low Stock,720996.6
SKU-B2654,Shipping,229.44,1001.0,47.0,382,Hokkaido Foods,24,1510.0,Low Stock,229669.44
SKU-Z5010,Home,192.83,0.0,82.0,969,Kyoto Crafts,13,2035.0,Out of Stock,0.0
SKU-C2084,Home,438.8,1228.0,41.0,348,Osaka Supplies,23,1291.0,Low Stock,538846.4
SKU-Y8019,Office,260.67,98.0,18.0,190,Kyoto Crafts,4,262.0,Low Stock,25545.66
SKU-X7252,Office,266.91,48.0,71.0,924,Kyoto Crafts,26,2770.0,Low Stock,12811.68
SKU-C8123,Home,6.61,1469.0,93.0,1221,Kyoto Crafts,19,2988.0,Low Stock,9710.09
SKU-Y4258,Home,382.44,3874.0,70.0,957,Hokkaido Foods,3,1167.0,Normal Stock,1481572.56
SKU-C4923,Electronics,439.61,320.0,11.0,83,Fukuoka Logistics,5,138.0,Normal Stock,140675.2
SKU-B5342,Office,305.26,1268.0,28.0,378,Sapporo Steel,25,1078.0,Normal Stock,387069.68
SKU-Y8397,Electronics,116.23,1462.0,44.0,314,Fukuoka Logistics,21,1238.0,Normal Stock,169928.26
SKU-C2160,Office,142.85,500.0,63.0,535,Fukuoka Logistics,21,1858.0,Low Stock,71425.0
SKU-Z8062,Food,208.5,3685.0,94.0,693,Kyoto Crafts,23,2855.0,Normal Stock,768322.5
SKU-X3296,Shipping,142.88,144.0,32.0,419,Fukuoka Logistics,28,1315.0,Low Stock,20574.72
SKU-A4872,Home,245.39,1516.0,28.0,365,Kyoto Crafts,8,589.0,Normal Stock,372011.24
SKU-X8973,Home,151.87,260.0,8.0,88,Fukuoka Logistics,26,296.0,Low Stock,39486.200000000004
SKU-A9320,Electronics,96.98,3981.0,77.0,575,Sapporo Steel,15,1730.0,Normal Stock,386077.38
SKU-X9565,Food,106.11,1466.0,92.0,846,Hokkaido Foods,7,1490.0,Low Stock,155557.26
SKU-X2638,Electronics,260.41,711.0,34.0,269,Osaka Supplies,5,439.0,Normal Stock,185151.51
SKU-Y9666,Electronics,409.47,242.0,39.0,527,Nagoya Parts,7,800.0,Low Stock,99091.74
SKU-B6617,Home,249.22,512.0,34.0,358,Nagoya Parts,30,1378.0,Low Stock,127600.64
SKU-C3647,Apparel,278.08,369.0,55.0,600,Kyoto Crafts,25,1975.0,Low Stock,102611.51999999999
SKU-B1685,Food,450.0,75.0,6.0,79,Hokkaido Foods,10,139.0,Low Stock,33750.0
SKU-Z3532,Home,85.44,34.0,23.0,302,Sapporo Steel,26,900.0,Low Stock,2904.96
SKU-B5371,Home,352.13,2524.0,49.0,642,Sapporo Steel,10,1132.0,Normal Stock,888776.12
SKU-B1387,Apparel,202.24,2088.0,36.0,469,Fukuoka Logistics,11,865.0,Normal Stock,422277.12
SKU-A2889,Food,292.39,1217.0,34.0,247,Fukuoka Logistics,14,723.0,Normal Stock,355838.63
SKU-Y4114,Food,355.85,48.0,1.0,10,Tokyo Electronics,24,34.0,Normal Stock,17080.800000000003
SKU-Z6409,Office,333.38,288.0,16.0,192,Hokkaido Foods,12,384.0,Low Stock,96013.44
SKU-Z7211,Apparel,451.89,1924.0,79.0,867,Nagoya Parts,29,3158.0,Low Stock,869436.36
SKU-X4501,Office,397.9,483.0,95.0,777,Kyoto Crafts,19,2582.0,Low Stock,192185.69999999998
SKU-C4680,Industrial,77.94,171.0,6.0,52,Fukuoka Logistics,30,232.0,Low Stock,13327.74
SKU-X9099,Shipping,258.92,4010.0,89.0,626,Fukuoka Logistics,27,3029.0,Normal Stock,1038269.2000000001
SKU-X1822,Office,459.15,769.0,16.0,163,Fukuoka Logistics,24,547.0,Normal Stock,353086.35
SKU-Z9270,Shipping,453.89,2587.0,58.0,770,Sapporo Steel,18,1814.0,Normal Stock,1174213.43
SKU-X4919,Food,255.84,745.0,37.0,319,Kyoto Crafts,20,1059.0,Low Stock,190600.8
SKU-C9890,Shipping,35.82,2494.0,54.0,525,Kyoto Crafts,25,1875.0,Normal Stock,89335.08
SKU-X7865,Office,368.64,2284.0,78.0,1036,Nagoya Parts,11,1894.0,Normal Stock,841973.76
SKU-B8657,Home,269.39,0.0,51.0,568,Osaka Supplies,5,823.0,Out of Stock,0.0
SKU-B8449,Food,255.84,2796.0,49.0,438,Hokkaido Foods,16,1222.0,Normal Stock,715328.64
SKU-C4673,Apparel,254.1,156.0,84.0,611,Tokyo Electronics,10,1451.0,Low Stock,39639.6
SKU-Y4571,Shipping,258.92,1748.0,48.0,392,Nagoya Parts,26,1640.0,Normal Stock,452592.16000000003
SKU-C7149,Shipping,103.17,2860.0,76.0,899,Nagoya Parts,6,1355.0,Normal Stock,295066.2
SKU-Y1672,Food,217.05,1864.0,48.0,359,Osaka Supplies,3,503.0,Normal Stock,404581.2
SKU-X3506,Shipping,368.23,4073.0,84.0,746,Fukuoka Logistics,20,2426.0,Normal Stock,1499800.79
SKU-B2419,Food,255.84,2405.0,60.0,659,Kyoto Crafts,13,1439.0,Normal Stock,615295.2
SKU-Y5526,Office,260.73,1080.0,25.0,189,Tokyo Electronics,18,639.0,Normal Stock,281588.4
SKU-A2524,Food,205.18,1116.0,32.0,292,Fukuoka Logistics,18,868.0,Normal Stock,228980.88
SKU-X5438,Food,255.84,667.0,93.0,776,Hokkaido Foods,20,2636.0,Low Stock,170645.28
SKU-Y9595,Office,490.35,541.0,25.0,226,Hokkaido Foods,12,526.0,Normal Stock,265279.35000000003
SKU-B9042,Electronics,11.07,977.0,37.0,380,Sapporo Steel,8,676.0,Normal Stock,10815.39
SKU-X2213,Office,344.79,675.0,20.0,160,Nagoya Parts,12,400.0,Normal Stock,232733.25
SKU-Y7232,Shipping,152.19,1392.0,76.0,1058,Kyoto Crafts,22,2730.0,Low Stock,211848.48
SKU-A3573,Home,278.24,567.0,21.0,147,Fukuoka Logistics,22,609.0,Low Stock,157762.08000000002
SKU-A4824,Food,396.67,4257.0,76.0,883,Sapporo Steel,16,2099.0,Normal Stock,1688624.1900000002
SKU-A3718,Industrial,299.55,1923.0,73.0,981,Hokkaido Foods,17,2222.0,Low Stock,576034.65
SKU-A1653,Shipping,164.55,453.0,33.0,236,Nagoya Parts,24,1028.0,Low Stock,74541.15000000001
SKU-C1659,Industrial,91.72,3682.0,67.0,774,Sapporo Steel,8,1310.0,Normal Stock,337713.04
SKU-X6460,Food,56.78,0.0,21.0,195,Nagoya Parts,12,447.0,Out of Stock,0.0
SKU-C6296,Electronics,260.41,4.0,66.0,843,Sapporo Steel,30,2823.0,Low Stock,1041.64
SKU-Z8242,Industrial,105.76,1227.0,71.0,562,Tokyo Electronics,25,2337.0,Low Stock,129767.52
SKU-C1224,Office,51.14,105.0,15.0,153,Kyoto Crafts,29,588.0,Low Stock,5369.7
SKU-X8736,Home,277.88,1798.0,50.0,416,Kyoto Crafts,26,1716.0,Normal Stock,499628.24
SKU-Y5377,Industrial,145.01,1357.0,39.0,501,Tokyo Electronics,24,1437.0,Low Stock,196778.56999999998
