Product_ID,Category,Unit_Cost_Raw,Current_Stock_Raw,Daily_Demand_Est,Safety_Stock_Target,Vendor_Name,Lead_Time_Days
SKU-Z2824,Electronics,141.14,-178,29.0,231,Nagoya Parts,26
SKU-Y1434,Office,359.43,1190,90.0,973,Fukuoka Logistics,21
SKU-C3547,Home,171.61,258,12.0,115,Sapporo Steel,14
 SKU-X2291 ,Office,415.56,1735,80.0,1055,Hokkaido Foods,9
SKU-B2654,Shipping,229.44,1001,47.0,382,Hokkaido Foods,24
SKU-Z5010,Home,192.83,,82.0,969,Kyoto Crafts,13
SKU-C2084,Home,438.8,1228,41.0,348,Osaka Supplies,23
SKU-Y8019,Office,Quote Pending,98,18.0,190,Kyoto Crafts,4
SKU-X7252,Office,266.91,48,71.0,924,Kyoto Crafts,26
SKU-C8123,Home,USD 6.61,1469,93.0,1221,Kyoto Crafts,19
SKU-Y4258,Home,USD 382.44,3874,70.0,957,Hokkaido Foods,3
SKU-C4923,Electronics,USD 439.61,320,11.0,83,Fukuoka Logistics,5
SKU-B5342,Office,305.26,1268,28.0,378,Sapporo Steel,25
SKU-Y8397,Electronics,116.23,1462,44.0,314,Fukuoka Logistics,21
SKU-C2160,Office,142.85,500,63.0,535,Fukuoka Logistics,21
SKU-Z8062,food,208.5,3685,94.0,693,Kyoto Crafts,23
SKU-X3296,Shipping,$142.88,144,32.0,419,Fukuoka Logistics,28
SKU-A4872,Home,245.39,1516,28.0,365,Kyoto Crafts,8
SKU-X8973,Home,151.87,260,8.0,88,Fukuoka Logistics,26
SKU-A9320,Electronics,96.98,3981,77.0,575,Sapporo Steel,15
SKU-X9565,Food,106.11,1466,92.0,846,Hokkaido Foods,7
SKU-X2638,Electronics,Quote Pending,711,34.0,269,Osaka Supplies,5
SKU-Y9666,Electronics,409.47,242,39.0,527,Nagoya Parts,7
SKU-B6617,HOME,,512,34.0,358,Nagoya Parts,30
SKU-C3647,Apparel,278.08,369,55.0,600,Kyoto Crafts,25
